Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-05-15,Redenominação,Assistente da Gerência Regional,2 (dois),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Assistente de Apoio Institucional,1 (um),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Assistente de Gabinete da Educação Integral e Profi ssional,1 (um),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Assistente Técnico da Rede Escolar,1 (um),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Assistente Técnico da Unidade de Coordenação do Programa de Educação Integral,5 (cinco),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Assistente Técnico de Gestão Educacional,9 (nove),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Chefe da Unidade de Educação Infantil e dos Anos Iniciais,12 (doze),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Chefe de Unidade de Coordenação do Programa de Educação Integral,7 (sete),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Chefe do Núcleo Administrativo da Escola de Referência em Ensino Médio,18 (dezoito),CAA-4,-,-,Auxiliar Técnico
2026-05-15,Redenominação,Auxiliar Administrativo de Planejamento e Controle das Aquisições,1 (um),CAA-5,-,-,Auxiliar Administrativo
2026-05-15,Redenominação,Auxiliar Administrativo de Secretaria Executiva,1 (um),CAA-5,-,-,Auxiliar Administrativo
2026-05-15,Redenominação,Auxiliar Administrativo Técnico da Rede Escolar,1 (um),CAA-5,-,-,Auxiliar Administrativo
2026-05-15,Transferência,Gerente Geral de Análise e Projeções de Cenários Fiscais,1 (um),DAS-2,"Secretaria de Planejamento, Gestão e Desenvolvimento Regional,",Secretaria de Desenvolvimento Econômico,Gerente Geral de Orçamento e Convênios
2026-05-15,Transferência,Assistente Técnico de Abrigamento,1,CAA-3,Secretaria da Mulher,Secretaria da Casa Civil,Assistente Técnico
2026-05-15,Transferência,Assistente Técnico de Informações Estratégicas,1,CAA-3,Secretaria da Assessoria Especial à Governadora e Relações Internacionais,Secretaria da Casa Civil,Assistente Técnico
2026-05-15,Alocação,Assessor Especial de Articulação e Acompanhamento,3 (três),DAS-4,-,Secretaria da Casa Civil,-
2026-05-16,Transferência,Auxiliar Técnico,20 (vinte),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-16,Transferência,Auxiliar Técnico,1 (um),CAA-4,Conselho Estadual de Defesa dos Direitos da Criança e do Adolescente de Pernambuco - CEDCA/PE,Secretaria da Casa Civil,-
2026-05-16,Transferência,Auxiliar Administrativo,1 (um),CAA-5,Conselho Estadual de Defesa dos Direitos da Criança e do Adolescente de Pernambuco - CEDCA/PE,Secretaria da Casa Civil,-
2026-05-16,Redenominação,Auxiliar de Gabinete,2 (dois),CAA-5,-,-,Auxiliar Administrativo
2026-05-16,Redenominação,Gerente de Análise de Risco e Prevenção em Defesa Civil,1 (um),DAS-2,-,-,Assessor Técnico de Análise de Riscos Tecnológicos
2026-05-16,Redenominação,Gerente de Restabelecimento e Recuperação em Defesa Civil,1 (um),DAS-2,-,-,Assessor Técnico de Análise de Riscos Naturais
2026-05-16,Redenominação,Gestor Técnico em Defesa Civil,1 (um),DAS-5,-,-,Assessor Especial de Engenharia de Riscos de Desastres
2026-05-16,Redenominação,Coordenador de Monitoramento e Alerta de Defesa Civil,1 (um),CAA-2,-,-,Coordenador de Gestão de Desastres
